account,symbol,type,time,qty,avg_cost,buy_pwr
2,BTC/USD,crypto,2023-03-17 19:27:10,65,27.9,500
1,DOGE/USD,crypto,2023-03-17 19:27:10,66,41.3,500
2,DOGE/USD,crypto,2023-03-17 19:27:10,86,79.5,500
1,AAPL,stock,2023-03-17 19:37:10,37,40.8,500
2,AAPL,stock,2023-03-17 19:37:10,18,99.3,500
1,GOOGL,stock,2023-03-17 19:37:10,97,64.4,500
2,GOOGL,stock,2023-03-17 19:37:10,49,32.3,500
1,TSLA,stock,2023-03-17 19:37:10,41,71.4,500
2,TSLA,stock,2023-03-17 19:37:10,89,65.5,500
1,BTC/USD,crypto,2023-03-17 19:37:10,4,96.6,500
2,BTC/USD,crypto,2023-03-17 19:37:10,43,72.4,500
1,DOGE/USD,crypto,2023-03-17 19:37:10,98,35.4,500
2,DOGE/USD,crypto,2023-03-17 19:37:10,94,62.5,500
1,AAPL,stock,2023-03-17 19:47:10,37,85.7,500
2,AAPL,stock,2023-03-17 19:47:10,5,53.9,500
1,GOOGL,stock,2023-03-17 19:47:10,41,53.8,500
2,GOOGL,stock,2023-03-17 19:47:10,1,96.6,500
1,TSLA,stock,2023-03-17 19:47:10,20,76.6,500
2,TSLA,stock,2023-03-17 19:47:10,59,71.5,500
1,BTC/USD,crypto,2023-03-17 19:47:10,17,90.2,500
2,BTC/USD,crypto,2023-03-17 19:47:10,82,73.5,500
1,DOGE/USD,crypto,2023-03-17 19:47:10,82,14.6,500
2,DOGE/USD,crypto,2023-03-17 19:47:10,20,74.5,500
1,AAPL,stock,2023-03-17 19:57:10,77,69.1,500
2,AAPL,stock,2023-03-17 19:57:10,68,9.7,500
1,GOOGL,stock,2023-03-17 19:57:10,97,88.2,500
2,GOOGL,stock,2023-03-17 19:57:10,65,42.6,500
1,TSLA,stock,2023-03-17 19:57:10,57,47.9,500
2,TSLA,stock,2023-03-17 19:57:10,84,15.4,500
1,BTC/USD,crypto,2023-03-17 19:57:10,84,20.1,500
2,BTC/USD,crypto,2023-03-17 19:57:10,86,59.4,500
1,DOGE/USD,crypto,2023-03-17 19:57:10,94,65.6,500
2,DOGE/USD,crypto,2023-03-17 19:57:10,37,91,500
1,AAPL,stock,2023-03-18 13:07:10,80,19.7,500
2,AAPL,stock,2023-03-18 13:07:10,99,73.1,500
1,GOOGL,stock,2023-03-18 13:07:10,46,35.1,500
2,GOOGL,stock,2023-03-18 13:07:10,95,88.1,500
1,TSLA,stock,2023-03-18 13:07:10,78,98,500
2,TSLA,stock,2023-03-18 13:07:10,40,9.8,500
1,BTC/USD,crypto,2023-03-18 13:07:10,72,9.9,500
2,BTC/USD,crypto,2023-03-18 13:07:10,88,31.5,500
1,DOGE/USD,crypto,2023-03-18 13:07:10,25,50.6,500
2,DOGE/USD,crypto,2023-03-18 13:07:10,72,35.5,500
1,AAPL,stock,2023-03-18 13:17:10,49,94.1,500
2,AAPL,stock,2023-03-18 13:17:10,37,26.7,500
1,GOOGL,stock,2023-03-18 13:17:10,99,34.8,500
2,GOOGL,stock,2023-03-18 13:17:10,30,20.9,500
1,TSLA,stock,2023-03-18 13:17:10,32,73.6,500
2,TSLA,stock,2023-03-18 13:17:10,2,85.1,500
1,BTC/USD,crypto,2023-03-18 13:17:10,74,65.4,500
2,BTC/USD,crypto,2023-03-18 13:17:10,43,65,500
1,DOGE/USD,crypto,2023-03-18 13:17:10,47,87.7,500
2,DOGE/USD,crypto,2023-03-18 13:17:10,75,20.2,500
1,AAPL,stock,2023-03-18 13:27:10,4,69.2,500
2,AAPL,stock,2023-03-18 13:27:10,94,47.8,500
1,GOOGL,stock,2023-03-18 13:27:10,66,0.9,500
2,GOOGL,stock,2023-03-18 13:27:10,50,66.6,500
1,TSLA,stock,2023-03-18 13:27:10,46,39.2,500
2,TSLA,stock,2023-03-18 13:27:10,13,10.8,500
1,BTC/USD,crypto,2023-03-18 13:27:10,56,3.9,500
2,BTC/USD,crypto,2023-03-18 13:27:10,43,31.9,500
1,DOGE/USD,crypto,2023-03-18 13:27:10,1,90.7,500
2,DOGE/USD,crypto,2023-03-18 13:27:10,73,11.1,500
1,AAPL,stock,2023-03-18 13:37:10,8,26.9,500
2,AAPL,stock,2023-03-18 13:37:10,38,46.6,500
1,GOOGL,stock,2023-03-18 13:37:10,12,99.8,500
2,GOOGL,stock,2023-03-18 13:37:10,76,27,500
1,TSLA,stock,2023-03-18 13:37:10,98,38.2,500
2,TSLA,stock,2023-03-18 13:37:10,37,14.7,500
1,BTC/USD,crypto,2023-03-18 13:37:10,60,49.1,500
2,BTC/USD,crypto,2023-03-18 13:37:10,43,46.3,500
1,DOGE/USD,crypto,2023-03-18 13:37:10,8,57.1,500
2,DOGE/USD,crypto,2023-03-18 13:37:10,20,97.4,500
1,AAPL,stock,2023-03-18 13:47:10,69,25.9,500
2,AAPL,stock,2023-03-18 13:47:10,69,98.6,500
1,GOOGL,stock,2023-03-18 13:47:10,29,6.6,500
2,GOOGL,stock,2023-03-18 13:47:10,50,36.4,500
1,TSLA,stock,2023-03-18 13:47:10,32,75.8,500
2,TSLA,stock,2023-03-18 13:47:10,81,85.6,500
1,BTC/USD,crypto,2023-03-18 13:47:10,65,59.9,500
2,BTC/USD,crypto,2023-03-18 13:47:10,94,83.9,500
1,DOGE/USD,crypto,2023-03-18 13:47:10,91,87.6,500
2,DOGE/USD,crypto,2023-03-18 13:47:10,22,23.3,500
1,AAPL,stock,2023-03-18 13:57:10,95,56.6,500
2,AAPL,stock,2023-03-18 13:57:10,55,86,500
1,GOOGL,stock,2023-03-18 13:57:10,91,99.7,500
2,GOOGL,stock,2023-03-18 13:57:10,84,3.3,500
1,TSLA,stock,2023-03-18 13:57:10,6,0.1,500
2,TSLA,stock,2023-03-18 13:57:10,78,29.5,500
1,BTC/USD,crypto,2023-03-18 13:57:10,46,52.6,500
2,BTC/USD,crypto,2023-03-18 13:57:10,58,24.1,500
1,DOGE/USD,crypto,2023-03-18 13:57:10,31,19.3,500
2,DOGE/USD,crypto,2023-03-18 13:57:10,56,49,500
1,AAPL,stock,2023-03-18 14:07:10,73,89.5,500
2,AAPL,stock,2023-03-18 14:07:10,13,46.5,500
1,GOOGL,stock,2023-03-18 14:07:10,83,50,500
2,GOOGL,stock,2023-03-18 14:07:10,29,77.4,500
1,TSLA,stock,2023-03-18 14:07:10,11,76.6,500
2,TSLA,stock,2023-03-18 14:07:10,54,82.4,500
1,BTC/USD,crypto,2023-03-18 14:07:10,34,91.9,500
2,BTC/USD,crypto,2023-03-18 14:07:10,77,80.9,500
1,DOGE/USD,crypto,2023-03-18 14:07:10,36,83.2,500
2,DOGE/USD,crypto,2023-03-18 14:07:10,48,13.9,500
1,AAPL,stock,2023-03-18 14:17:10,30,64.9,500
2,AAPL,stock,2023-03-18 14:17:10,9,89.5,500
1,GOOGL,stock,2023-03-18 14:17:10,72,61.5,500
2,GOOGL,stock,2023-03-18 14:17:10,98,81.6,500
1,TSLA,stock,2023-03-18 14:17:10,67,59.8,500
2,TSLA,stock,2023-03-18 14:17:10,36,2.9,500
1,BTC/USD,crypto,2023-03-18 14:17:10,37,42.8,500
2,BTC/USD,crypto,2023-03-18 14:17:10,3,46.2,500
1,DOGE/USD,crypto,2023-03-18 14:17:10,55,61.5,500
2,DOGE/USD,crypto,2023-03-18 14:17:10,51,47.1,500
1,AAPL,stock,2023-03-18 14:27:10,21,95.9,500
2,AAPL,stock,2023-03-18 14:27:10,38,84.4,500
1,GOOGL,stock,2023-03-18 14:27:10,27,4.5,500
2,GOOGL,stock,2023-03-18 14:27:10,55,1.7,500
1,TSLA,stock,2023-03-18 14:27:10,61,61.8,500
2,TSLA,stock,2023-03-18 14:27:10,33,68.3,500
1,BTC/USD,crypto,2023-03-18 14:27:10,39,13.4,500
2,BTC/USD,crypto,2023-03-18 14:27:10,3,19.6,500
1,DOGE/USD,crypto,2023-03-18 14:27:10,64,18.3,500
2,DOGE/USD,crypto,2023-03-18 14:27:10,20,1.5,500
1,AAPL,stock,2023-03-18 14:37:10,10,35.6,500
2,AAPL,stock,2023-03-18 14:37:10,100,21.1,500
1,GOOGL,stock,2023-03-18 14:37:10,74,76.5,500
2,GOOGL,stock,2023-03-18 14:37:10,59,63.3,500
1,TSLA,stock,2023-03-18 14:37:10,60,25.5,500
2,TSLA,stock,2023-03-18 14:37:10,23,37.7,500
1,BTC/USD,crypto,2023-03-18 14:37:10,50,45,500
2,BTC/USD,crypto,2023-03-18 14:37:10,92,89.8,500
1,DOGE/USD,crypto,2023-03-18 14:37:10,19,60.4,500
2,DOGE/USD,crypto,2023-03-18 14:37:10,25,38.1,500
1,AAPL,stock,2023-03-18 14:47:10,39,23.6,500
2,AAPL,stock,2023-03-18 14:47:10,55,85.5,500
1,GOOGL,stock,2023-03-18 14:47:10,47,62.1,500
2,GOOGL,stock,2023-03-18 14:47:10,78,27,500
1,TSLA,stock,2023-03-18 14:47:10,24,79.7,500
2,TSLA,stock,2023-03-18 14:47:10,100,62.6,500
1,BTC/USD,crypto,2023-03-18 14:47:10,65,18.8,500
2,BTC/USD,crypto,2023-03-18 14:47:10,57,36.6,500
1,DOGE/USD,crypto,2023-03-18 14:47:10,20,10.9,500
2,DOGE/USD,crypto,2023-03-18 14:47:10,79,53.4,500
1,AAPL,stock,2023-03-18 14:57:10,7,95.2,500
2,AAPL,stock,2023-03-18 14:57:10,35,46.2,500
1,GOOGL,stock,2023-03-18 14:57:10,29,99.5,500
2,GOOGL,stock,2023-03-18 14:57:10,6,14.2,500
1,TSLA,stock,2023-03-18 14:57:10,72,82.9,500
2,TSLA,stock,2023-03-18 14:57:10,51,35.7,500
1,BTC/USD,crypto,2023-03-18 14:57:10,57,10.1,500
2,BTC/USD,crypto,2023-03-18 14:57:10,72,21.3,500
1,DOGE/USD,crypto,2023-03-18 14:57:10,55,61.2,500
2,DOGE/USD,crypto,2023-03-18 14:57:10,49,90.3,500
1,AAPL,stock,2023-03-18 15:07:10,22,59.3,500
2,AAPL,stock,2023-03-18 15:07:10,11,29.7,500
1,GOOGL,stock,2023-03-18 15:07:10,42,35.9,500
2,GOOGL,stock,2023-03-18 15:07:10,17,60.9,500
1,TSLA,stock,2023-03-18 15:07:10,40,40.6,500
2,TSLA,stock,2023-03-18 15:07:10,16,82.5,500
1,BTC/USD,crypto,2023-03-18 15:07:10,93,55.3,500
2,BTC/USD,crypto,2023-03-18 15:07:10,90,14.2,500
1,DOGE/USD,crypto,2023-03-18 15:07:10,76,80.9,500
2,DOGE/USD,crypto,2023-03-18 15:07:10,74,20.4,500
1,AAPL,stock,2023-03-18 15:17:10,85,91.4,500
2,AAPL,stock,2023-03-18 15:17:10,54,30.9,500
1,GOOGL,stock,2023-03-18 15:17:10,9,93.7,500
2,GOOGL,stock,2023-03-18 15:17:10,46,26.1,500
1,TSLA,stock,2023-03-18 15:17:10,37,52.7,500
2,TSLA,stock,2023-03-18 15:17:10,16,79,500
1,BTC/USD,crypto,2023-03-18 15:17:10,69,91.2,500
2,BTC/USD,crypto,2023-03-18 15:17:10,87,31,500
1,DOGE/USD,crypto,2023-03-18 15:17:10,90,18.8,500
2,DOGE/USD,crypto,2023-03-18 15:17:10,68,21.3,500
1,AAPL,stock,2023-03-18 15:27:10,75,10.5,500
2,AAPL,stock,2023-03-18 15:27:10,49,29.8,500
1,GOOGL,stock,2023-03-18 15:27:10,41,15.4,500
2,GOOGL,stock,2023-03-18 15:27:10,25,5.9,500
1,TSLA,stock,2023-03-18 15:27:10,7,96.2,500
2,TSLA,stock,2023-03-18 15:27:10,59,82.8,500
1,BTC/USD,crypto,2023-03-18 15:27:10,62,87.2,500
2,BTC/USD,crypto,2023-03-18 15:27:10,17,2.3,500
1,DOGE/USD,crypto,2023-03-18 15:27:10,60,10.7,500
2,DOGE/USD,crypto,2023-03-18 15:27:10,40,65.5,500
1,AAPL,stock,2023-03-18 15:37:10,99,74.2,500
2,AAPL,stock,2023-03-18 15:37:10,48,94.5,500
1,GOOGL,stock,2023-03-18 15:37:10,34,41.9,500
2,GOOGL,stock,2023-03-18 15:37:10,55,97.4,500
1,TSLA,stock,2023-03-18 15:37:10,96,34.1,500
2,TSLA,stock,2023-03-18 15:37:10,95,89.7,500
1,BTC/USD,crypto,2023-03-18 15:37:10,93,79.7,500
2,BTC/USD,crypto,2023-03-18 15:37:10,79,58.4,500
1,DOGE/USD,crypto,2023-03-18 15:37:10,89,72.2,500
2,DOGE/USD,crypto,2023-03-18 15:37:10,79,25,500
1,AAPL,stock,2023-03-18 15:47:10,60,93.5,500
2,AAPL,stock,2023-03-18 15:47:10,100,9.5,500
1,GOOGL,stock,2023-03-18 15:47:10,10,94.4,500
2,GOOGL,stock,2023-03-18 15:47:10,17,74.1,500
1,TSLA,stock,2023-03-18 15:47:10,79,89,500
2,TSLA,stock,2023-03-18 15:47:10,16,28.8,500
1,BTC/USD,crypto,2023-03-18 15:47:10,89,42.1,500
2,BTC/USD,crypto,2023-03-18 15:47:10,80,79.1,500
1,DOGE/USD,crypto,2023-03-18 15:47:10,16,28.6,500
2,DOGE/USD,crypto,2023-03-18 15:47:10,42,52.7,500
1,AAPL,stock,2023-03-18 15:57:10,60,98.9,500
2,AAPL,stock,2023-03-18 15:57:10,59,35.5,500
1,GOOGL,stock,2023-03-18 15:57:10,46,99.7,500
2,GOOGL,stock,2023-03-18 15:57:10,92,19.8,500
1,TSLA,stock,2023-03-18 15:57:10,63,30,500
2,TSLA,stock,2023-03-18 15:57:10,31,47.8,500
1,BTC/USD,crypto,2023-03-18 15:57:10,81,16.9,500
2,BTC/USD,crypto,2023-03-18 15:57:10,74,29.7,500
1,DOGE/USD,crypto,2023-03-18 15:57:10,25,27,500
2,DOGE/USD,crypto,2023-03-18 15:57:10,39,46.1,500
1,AAPL,stock,2023-03-18 16:07:10,64,40.1,500
2,AAPL,stock,2023-03-18 16:07:10,51,14.3,500
1,GOOGL,stock,2023-03-18 16:07:10,99,52.5,500
2,GOOGL,stock,2023-03-18 16:07:10,31,54.6,500
1,TSLA,stock,2023-03-18 16:07:10,18,99.7,500
2,TSLA,stock,2023-03-18 16:07:10,78,24.1,500
1,BTC/USD,crypto,2023-03-18 16:07:10,96,26.6,500
2,BTC/USD,crypto,2023-03-18 16:07:10,11,76.8,500
1,DOGE/USD,crypto,2023-03-18 16:07:10,14,24.5,500
2,DOGE/USD,crypto,2023-03-18 16:07:10,68,73.2,500
1,AAPL,stock,2023-03-18 16:17:10,12,52.8,500
2,AAPL,stock,2023-03-18 16:17:10,91,7.3,500
1,GOOGL,stock,2023-03-18 16:17:10,85,83,500
2,GOOGL,stock,2023-03-18 16:17:10,28,65.2,500
1,TSLA,stock,2023-03-18 16:17:10,42,2.2,500
2,TSLA,stock,2023-03-18 16:17:10,53,70.2,500
1,BTC/USD,crypto,2023-03-18 16:17:10,76,57.4,500
2,BTC/USD,crypto,2023-03-18 16:17:10,97,59.6,500
1,DOGE/USD,crypto,2023-03-18 16:17:10,24,47.6,500
2,DOGE/USD,crypto,2023-03-18 16:17:10,86,78.1,500
1,AAPL,stock,2023-03-18 16:27:10,29,64.9,500
2,AAPL,stock,2023-03-18 16:27:10,93,44.4,500
1,GOOGL,stock,2023-03-18 16:27:10,71,62.2,500
2,GOOGL,stock,2023-03-18 16:27:10,79,91.3,500
1,TSLA,stock,2023-03-18 16:27:10,10,33.1,500
2,TSLA,stock,2023-03-18 16:27:10,73,88.2,500
1,BTC/USD,crypto,2023-03-18 16:27:10,72,55.3,500
2,BTC/USD,crypto,2023-03-18 16:27:10,20,84.8,500
1,DOGE/USD,crypto,2023-03-18 16:27:10,12,93.7,500
2,DOGE/USD,crypto,2023-03-18 16:27:10,92,9.8,500
1,AAPL,stock,2023-03-18 16:37:10,5,8.7,500
2,AAPL,stock,2023-03-18 16:37:10,52,23.7,500
1,GOOGL,stock,2023-03-18 16:37:10,55,87,500
2,GOOGL,stock,2023-03-18 16:37:10,12,8.1,500
1,TSLA,stock,2023-03-18 16:37:10,15,19.3,500
2,TSLA,stock,2023-03-18 16:37:10,4,52.6,500
1,BTC/USD,crypto,2023-03-18 16:37:10,4,20.8,500
2,BTC/USD,crypto,2023-03-18 16:37:10,22,53.2,500
1,DOGE/USD,crypto,2023-03-18 16:37:10,5,56.1,500
2,DOGE/USD,crypto,2023-03-18 16:37:10,77,31.6,500
1,AAPL,stock,2023-03-18 16:47:10,40,30.6,500
2,AAPL,stock,2023-03-18 16:47:10,9,80.3,500
1,GOOGL,stock,2023-03-18 16:47:10,79,37.3,500
2,GOOGL,stock,2023-03-18 16:47:10,87,90.4,500
1,TSLA,stock,2023-03-18 16:47:10,4,47,500
2,TSLA,stock,2023-03-18 16:47:10,100,3,500
1,BTC/USD,crypto,2023-03-18 16:47:10,64,67.2,500
2,BTC/USD,crypto,2023-03-18 16:47:10,95,30.9,500
1,DOGE/USD,crypto,2023-03-18 16:47:10,96,38,500
2,DOGE/USD,crypto,2023-03-18 16:47:10,75,64.5,500
1,AAPL,stock,2023-03-18 16:57:10,44,20.2,500
2,AAPL,stock,2023-03-18 16:57:10,97,58.2,500
1,GOOGL,stock,2023-03-18 16:57:10,52,21.1,500
2,GOOGL,stock,2023-03-18 16:57:10,33,9,500
1,TSLA,stock,2023-03-18 16:57:10,86,72.4,500
2,TSLA,stock,2023-03-18 16:57:10,27,3.3,500
1,BTC/USD,crypto,2023-03-18 16:57:10,2,16.8,500
2,BTC/USD,crypto,2023-03-18 16:57:10,37,54,500
1,DOGE/USD,crypto,2023-03-18 16:57:10,77,33,500
2,DOGE/USD,crypto,2023-03-18 16:57:10,78,97.4,500
1,AAPL,stock,2023-03-18 17:07:10,57,64,500
2,AAPL,stock,2023-03-18 17:07:10,24,27,500
1,GOOGL,stock,2023-03-18 17:07:10,31,37.1,500
2,GOOGL,stock,2023-03-18 17:07:10,30,18.7,500
1,TSLA,stock,2023-03-18 17:07:10,53,2.7,500
2,TSLA,stock,2023-03-18 17:07:10,96,11.6,500
1,BTC/USD,crypto,2023-03-18 17:07:10,40,56.9,500
2,BTC/USD,crypto,2023-03-18 17:07:10,87,81.6,500
1,DOGE/USD,crypto,2023-03-18 17:07:10,34,24.6,500
2,DOGE/USD,crypto,2023-03-18 17:07:10,93,61.3,500
1,AAPL,stock,2023-03-18 17:17:10,22,17.9,500
2,AAPL,stock,2023-03-18 17:17:10,12,32.3,500
1,GOOGL,stock,2023-03-18 17:17:10,71,16.7,500
2,GOOGL,stock,2023-03-18 17:17:10,61,90.8,500
1,TSLA,stock,2023-03-18 17:17:10,39,44.4,500
2,TSLA,stock,2023-03-18 17:17:10,82,13.4,500
1,BTC/USD,crypto,2023-03-18 17:17:10,37,12.9,500
2,BTC/USD,crypto,2023-03-18 17:17:10,2,21,500
1,DOGE/USD,crypto,2023-03-18 17:17:10,42,9.3,500
2,DOGE/USD,crypto,2023-03-18 17:17:10,62,15.2,500
1,AAPL,stock,2023-03-18 17:27:10,25,30.1,500
2,AAPL,stock,2023-03-18 17:27:10,29,94.3,500
1,GOOGL,stock,2023-03-18 17:27:10,22,53,500
2,GOOGL,stock,2023-03-18 17:27:10,28,26.1,500
1,TSLA,stock,2023-03-18 17:27:10,45,24.5,500
2,TSLA,stock,2023-03-18 17:27:10,57,42.9,500
1,BTC/USD,crypto,2023-03-18 17:27:10,30,83.8,500
2,BTC/USD,crypto,2023-03-18 17:27:10,13,96.8,500
1,DOGE/USD,crypto,2023-03-18 17:27:10,96,52.2,500
2,DOGE/USD,crypto,2023-03-18 17:27:10,9,27.3,500
1,AAPL,stock,2023-03-18 17:37:10,25,77.7,500
2,AAPL,stock,2023-03-18 17:37:10,10,39.3,500
1,GOOGL,stock,2023-03-18 17:37:10,63,25.9,500
2,GOOGL,stock,2023-03-18 17:37:10,85,82.9,500
1,TSLA,stock,2023-03-18 17:37:10,31,25.4,500
2,TSLA,stock,2023-03-18 17:37:10,15,32.1,500
1,BTC/USD,crypto,2023-03-18 17:37:10,87,70.5,500
2,BTC/USD,crypto,2023-03-18 17:37:10,68,11.2,500
1,DOGE/USD,crypto,2023-03-18 17:37:10,6,40,500
2,DOGE/USD,crypto,2023-03-18 17:37:10,31,69.7,500
1,AAPL,stock,2023-03-18 17:47:10,63,7,500
2,AAPL,stock,2023-03-18 17:47:10,96,24.4,500
1,GOOGL,stock,2023-03-18 17:47:10,60,73.9,500
2,GOOGL,stock,2023-03-18 17:47:10,25,0.6,500
1,TSLA,stock,2023-03-18 17:47:10,82,8.4,500
2,TSLA,stock,2023-03-18 17:47:10,9,54.4,500
1,BTC/USD,crypto,2023-03-18 17:47:10,23,96.7,500
2,BTC/USD,crypto,2023-03-18 17:47:10,17,38.2,500
1,DOGE/USD,crypto,2023-03-18 17:47:10,3,16.1,500
2,DOGE/USD,crypto,2023-03-18 17:47:10,77,20.4,500
1,AAPL,stock,2023-03-18 17:57:10,97,65.6,500
2,AAPL,stock,2023-03-18 17:57:10,42,48,500
1,GOOGL,stock,2023-03-18 17:57:10,36,34.6,500
2,GOOGL,stock,2023-03-18 17:57:10,90,72,500
1,TSLA,stock,2023-03-18 17:57:10,31,74.6,500
2,TSLA,stock,2023-03-18 17:57:10,27,14.1,500
1,BTC/USD,crypto,2023-03-18 17:57:10,39,70.8,500
2,BTC/USD,crypto,2023-03-18 17:57:10,65,74.2,500
1,DOGE/USD,crypto,2023-03-18 17:57:10,61,23.4,500
2,DOGE/USD,crypto,2023-03-18 17:57:10,72,54.6,500
1,AAPL,stock,2023-03-18 18:07:10,58,4.9,500
2,AAPL,stock,2023-03-18 18:07:10,19,81.4,500
1,GOOGL,stock,2023-03-18 18:07:10,33,40.7,500
2,GOOGL,stock,2023-03-18 18:07:10,100,4,500
